"filename", "language", "Python", "HTML", "pip requirements", "CSS", "Database", "JavaScript", "YAML", "comment", "blank", "total"
"c:\data\Gp_workplace\main\src\social\social\settings.py", "Python", 81, 0, 0, 0, 0, 0, 0, 44, 31, 156
"c:\data\Gp_workplace\main\src\social\social\urls.py", "Python", 14, 0, 0, 0, 0, 0, 0, 16, 3, 33
"c:\data\Gp_workplace\main\src\social\social\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\data\Gp_workplace\main\src\social\testing\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\testing\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\testing\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\data\Gp_workplace\main\src\social\testing\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\testing\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\ajaxtest.html", "HTML", 0, 88, 0, 0, 0, 0, 0, 1, 8, 97
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\home.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\javascript.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\login.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\main.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\post.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\postdisplay.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 1, 11, 55
"c:\data\Gp_workplace\main\src\social\testing\templates\testing\register.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\testing\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\testing\urls.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\data\Gp_workplace\main\src\social\testing\views.py", "Python", 116, 0, 0, 0, 0, 0, 0, 70, 14, 200
"Total", "-", 4202, 6131, 8, 6355, 3474, 269, 47, 908, 2397, 23791
